"Po¯.";"ID";"JmÈno";"T˝m";"G";"PAB";"AB";"H";"BA";"2B";"3B";"HR";"TB";"SA";"R";"RBI";"BB";"HP";"SO";"SOA";"SH";"SF";"SB";"CS";"SBA";"OBP";
"171";"6521";"MachaËka ZdenÏk";"Eagles";"1";"4";"2";"0";"0,000";"0";"0";"0";"0";"0,000";"1";"1";"2";"0";"1";"0,500";"0";"0";"0";"0";"0,000";"0,500";
"172";"8133";"Schwarz Pavel";"Skokani";"7";"4";"4";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"3";"0,750";"0";"0";"0";"0";"0,000";"0,000";
"173";"15075";"Thurber Taylor";"Eagles";"9";"4";"4";"0";"0,000";"0";"0";"0";"0";"0,000";"1";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"174";"4838";"V˝bora Jon·ö";"Eagles";"1";"4";"4";"0";"0,000";"0";"0";"0";"0";"0,000";"1";"0";"0";"0";"1";"0,250";"0";"0";"0";"0";"0,000";"0,000";
"175";"7536";"Jasansk˝ AlfrÈd";"Kotl·¯ka";"2";"3";"2";"0";"0,000";"0";"0";"0";"0";"0,000";"1";"0";"1";"0";"1";"0,500";"0";"0";"1";"0";"1,000";"0,333";
"176";"7170";"Just Daniel";"Technika";"4";"3";"2";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"1";"0";"2";"1,000";"0";"0";"0";"0";"0,000";"0,333";
"177";"9020";"Koöata Ond¯ej";"Skokani";"2";"3";"3";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"2";"0,667";"0";"0";"0";"0";"0,000";"0,000";
"178";"7727";"K¯iv·nek Michal";"Nuclears";"1";"3";"2";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"1";"0";"2";"1,000";"0";"0";"0";"0";"0,000";"0,333";
"179";"14975";"Rivera Joe";"Technika";"10";"3";"3";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"180";"5757";"Ercoli Luk·ö";"Kotl·¯ka";"12";"2";"1";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"1";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,500";
"181";"9020";"Koöata Ond¯ej";"Arrows";"2";"2";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"1";"0";"2";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"1,000";
"182";"2424";"Libiak Jozef";"Nuclears";"1";"2";"2";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"2";"1,000";"0";"0";"0";"0";"0,000";"0,000";
"183";"6624";"Novotn˝ Tom·ö";"Eagles";"2";"2";"2";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"1";"0,500";"0";"0";"0";"0";"0,000";"0,000";
"184";"7049";"Regner Martin";"Technika";"2";"2";"2";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"1";"0,500";"0";"0";"0";"0";"0,000";"0,000";
"185";"12934";"Barto Jeffrey";"Hroöi";"11";"1";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"1";"1";"1";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"1,000";
"186";"7431";"Burian Radek";"Technika";"5";"1";"1";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"1";"1,000";"0";"0";"0";"0";"0,000";"0,000";
"187";"15007";"Green Reece";"Nuclears";"8";"1";"1";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"1";"1,000";"0";"0";"0";"0";"0,000";"0,000";
"188";"7798";"Imramovsk˝ Jan";"Eagles";"2";"1";"1";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"1";"1,000";"0";"0";"0";"0";"0,000";"0,000";
"189";"9344";"Sobotka Jakub";"Tempo";"2";"1";"1";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"1";"1,000";"0";"0";"0";"0";"0,000";"0,000";
"190";"11690";"Svoboda Jakub";"Technika";"1";"1";"1";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"191";"6877";"äv·bensk˝ Vojta";"Technika";"2";"1";"1";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"1";"1,000";"0";"0";"0";"0";"0,000";"0,000";
"192";"9956";"ZajÌËek Adam";"Tempo";"1";"1";"1";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"1";"1,000";"0";"0";"0";"0";"0,000";"0,000";
"193";"6357";"Bareö Martin";"Hroöi";"6";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"194";"8862";"Bl·ha VojtÏch";"Technika";"2";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"195";"282";"Bokaj Boris";"Arrows";"7";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"196";"15290";"Brandon Valentin";"Nuclears";"4";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"197";"15216";"Burkholder Christopfer";"Arrows";"5";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
